"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"43622",121.5,75.5,5095,6020,6,75,34,37,3,55,5519,13,93
"43623",122.5,75.5,4949,5978,11,70,41,26,1,69,5496,14,93
"43624",123.5,75.5,5052,5775,20,65,37,30,6,53,5478,16,90
"43625",124.5,75.5,5032,6142,11,73,34,42,4,51,5514,13,95
"43626",125.5,75.5,5114,6052,12,64,35,32,3,49,5429,20,94
"43627",126.5,75.5,5005,6046,13,80,29,32,3,53,5466,11,94
"43628",127.5,75.5,5157,6014,11,71,31,23,2,43,5349,19,93
"43629",128.5,75.5,5186,6141,22,49,28,30,6,53,5451,17,95
"43630",129.5,75.5,5191,6056,12,62,22,31,3,40,5527,19,94
"43631",130.5,75.5,5221,6090,10,55,33,33,3,44,5411,15,94
"43632",131.5,75.5,5113,6099,13,70,39,35,4,39,5398,12,94
"43633",132.5,75.5,5156,6045,19,62,45,27,2,35,5417,21,93
"43634",133.5,75.5,5164,6100,12,68,35,37,4,48,5343,23,94
"43635",134.5,75.5,4954,6042,12,59,38,29,7,56,5416,20,93
"43636",135.5,75.5,5009,5794,14,79,30,38,3,73,5462,22,90
"43637",136.5,75.5,4879,5806,13,79,31,30,6,62,5543,20,90
"43638",137.5,75.5,4980,5842,12,59,37,33,1,70,5474,13,91
"43639",138.5,75.5,4685,5605,15,83,50,51,2,104,5404,17,87
"43640",139.5,75.5,5060,5813,16,62,31,35,2,84,5501,24,90
"43641",140.5,75.5,5084,5869,10,80,29,34,2,73,5555,13,91
"43642",141.5,75.5,5027,5977,14,76,33,35,4,53,5548,13,93
"43643",142.5,75.5,5029,6085,10,61,36,31,3,80,5590,25,94
"43644",143.5,75.5,4911,5991,13,74,49,35,1,83,5629,13,93
"43645",144.5,75.5,4982,5969,17,79,36,39,2,58,5470,26,92
"43646",145.5,75.5,5075,5902,12,78,31,27,6,63,5370,22,91
"43647",146.5,75.5,5026,5920,18,73,38,45,1,50,5472,15,92
"43648",147.5,75.5,4984,6083,5,60,51,27,4,58,5363,18,94
"43649",148.5,75.5,5057,6090,13,77,46,34,5,50,5454,18,94
